Date,Day,Hour,Nuclear %,Nuclear MW,Hydro %,Hydro MW,Gas %,Gas MW,Wind %,Wind MW,Solar %,Solar MW,Biofuel %,Biofuel MW,Nuc.+Hyd. %,Nuc.+Hyd. MW,Total MW
2019-09-07,Saturday,20:45,69.2,10618,26.2,4014,0.7,110,3.8,588,,,,,95.4,"14,632","15,330"
2019-09-08,Sunday,7:45,74.0,10105,21.7,2961,0.9,125,3.3,456,,,,,95.7,"13,066","13,647"
2019-09-08,Sunday,13:45,70.0,10355,24.3,3595,1.4,206,2.7,404,1.5,223,,,94.3,"13,950","14,783"
2019-09-09,Monday,6:45,78.1,10696,18.5,2528,1.4,186,1.9,265,,,,,96.6,"13,224","13,675"
2019-09-09,Monday,12:45,72.6,10696,21.3,3143,3.5,517,0.4,55,2.0,301,0.2,26,93.9,"13,839","14,738"
2019-09-09,Monday,20:45,64.9,10691,25.6,4212,7.9,1294,1.6,256,,,0.2,26,90.5,"14,903","16,479"
2019-09-10,Tuesday,6:45,76.6,10730,17.6,2470,1.7,232,4.0,565,,,,,94.2,"13,200","13,997"
2019-09-10,Tuesday,12:45,64.7,10687,19.0,3135,7.3,1199,7.4,1222,1.6,261,0.2,26,83.7,"13,822","16,530"
2019-09-10,Tuesday,20:45,60.5,10664,21.1,3723,5.3,926,13.0,2296,,,0.1,26,81.6,"14,387","17,635"
2019-09-11,Wednesday,6:45,70.7,10656,17.5,2629,7.4,1114,4.3,542,,,0.1,22,88.2,"13,285","15,063"
2019-09-11,Wednesday,12:45,60.6,10643,20.0,3512,16.9,2974,0.8,136,1.5,264,0.2,38,80.6,"14,155","17,567"
2019-09-11,Wednesday,20:45,54.8,10657,22.4,4361,19.2,3734,3.4,658,,,0.3,51,77.2,"15,018","19,461"
2019-09-12,Thursday,7:45,69.2,10685,18.1,2792,5.2,800,7.3,1121,,,0.3,47,87.3,"13,477","15,445"
2019-09-12,Thursday,15:45,67.9,10656,18.5,2897,5.5,862,6.1,950,1.8,281,0.3,57,86.4,"13,553","15,699"
2019-09-12,Thursday,20:45,64.7,10639,24.4,4008,2.4,390,8.1,1333,,,0.4,65,89.1,"14,647","16,435"
2019-09-13,Friday,7:45,70.6,10670,17.5,2644,1.3,198,10.1,1533,,,0.4,60,88.1,"13,314","15,105"
2019-09-13,Friday,12:45,63.8,10613,18.6,3099,1.2,198,14.3,2384,1.6,269,0.4,65,82.4,"13,712","16,628"
2019-09-13,Friday,20:45,59.2,10580,19.5,3491,1.1,203,19.7,3519,,,0.4,67,78.7,"14,071","17,860"
2019-09-14,Saturday,6:45,73.0,10562,17.5,2533,0.7,102,8.5,1226,,,0.3,44,90.5,"13,095","14,467"
2019-09-14,Saturday,15:45,66.4,10535,19.3,3064,0.7,106,11.6,1844,1.8,292,0.2,30,85.7,"13,599","15,871"
2019-09-14,Saturday,20:45,65.1,10565,25.5,4140,1.2,188,8.0,1292,,,0.3,45,90.6,"14,705","16,230"
