Date,Day,Hour,Nuclear %,Nuclear MW,Hydro %,Hydro MW,Gas %,Gas MW,Wind %,Wind MW,Solar %,Solar MW,Biofuel %,Biofuel MW,Nuc.+Hyd. %,Nuc.+Hyd. MW,Total MW
2018-12-26,Wednesday,20:45,62.4,11000,31.3,5519,3.8,678,2.4,424,0.0,,,,93.7,"16,519","17,621"
2018-12-27,Thursday,8:45,59.7,11004,20.9,3854,1.4,267,17.8,3285,0.0,,0.1,27,80.6,"14,858","18,437"
2018-12-27,Thursday,14:45,58.4,11135,21.7,4132,1.4,267,18.1,3447,0.3,54,0.1,27,80.1,"15,267","19,062"
2018-12-27,Thursday,20:45,55.2,11127,25.4,5124,1.3,263,17.9,3611,0.0,,0.1,28,80.6,"16,251","20,153"
2018-12-28,Friday,8:45,62.2,11205,19.2,3463,1.4,259,17.0,3052,0.0,,,,81.4,"14,668","17,979"
2018-12-28,Friday,13:45,59.7,11219,20.1,3785,1.9,365,17.9,3368,0.0,,0.1,27,79.8,"15,004","18,764"
2018-12-28,Friday,20:45,57.5,11230,20.9,4075,2.5,486,19.1,3725,0.0,,,,78.4,"15,305","19,516"
2018-12-29,Saturday,7:45,69.8,11217,20.2,3240,1.5,235,8.6,1379,0.0,,,,90.0,"14,457","16,071"
2018-12-29,Saturday,13:45,65.3,11220,29.0,4980,2.6,445,2.8,478,0.3,50,,,94.3,"16,200","17,173"
2018-12-29,Saturday,20:45,61.9,11245,31.3,5681,5.5,996,1.3,235,0.0,,,,93.2,"16,926","18,157"
2018-12-30,Sunday,7:45,66.6,10815,23.2,3768,1.0,168,9.1,1484,0.0,,,,89.8,"14,583","16,235"
2018-12-30,Sunday,12:45,61.6,10818,26.6,4679,1.1,193,10.3,1814,0.4,63,,,88.2,"15,497","17,567"
2018-12-30,Sunday,20:45,59.5,10821,26.4,4804,2.2,394,12.0,2177,0.0,,,,85.9,"15,625","18,196"
